date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:38	307926/307926	---M-Z	200	added ('OK')	text/html	etag:%225783d64b909fd107261bb1283450740d%22	https://gregarious-group-603318.framer.app/	C:/My%20PORTFOLIO/UPENDRA/gregarious-group-603318.framer.app/index.html	(from )
14:53:38	112/112	---M-Z	200	added ('OK')	text/plain	etag:%22ea88d7e98b381f1f946e313436cc7a43%22	https://gregarious-group-603318.framer.app/robots.txt		(from )
14:53:38	1149/1149	---MC-	200	added ('OK')	image/png	etag:%22238b66ca0aba18f16cdc34e0acce1503%22	https://framerusercontent.com/images/YXb0dGuRbFDEzgiyud2TPQ2lY.png	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/YXb0dGuRbFDEzgiyud2TPQ2lY.png	(from https://gregarious-group-603318.framer.app/)
14:53:39	1139/1139	---MC-	200	added ('OK')	image/png	etag:%2255199795e293d55fb7d20acd191d5129%22	https://framerusercontent.com/images/honquIviSAC1A6XA8ElH3xxxPGI.png	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/honquIviSAC1A6XA8ElH3xxxPGI.png	(from https://gregarious-group-603318.framer.app/)
14:53:39	143133/143133	---MC-	200	added ('OK')	image/jpeg	etag:%2280ed9757605171e3450328cbc703c373%22	https://framerusercontent.com/images/FaSeqJL5I8I06wKToySE4BBCkg.jpg?width=1024&height=1536	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/FaSeqJL5I8I06wKToySE4BBCkgbd31.jpg	(from https://gregarious-group-603318.framer.app/)
14:53:39	646/646	---MC-	200	added ('OK')	image/png	etag:%224abdf0de0191cfa95651634c66211a14%22	https://framerusercontent.com/images/SUl7Vhv9jZEYooSixx6LxkLQHAg.png?width=81&height=80	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/SUl7Vhv9jZEYooSixx6LxkLQHAg09d2.png	(from https://gregarious-group-603318.framer.app/)
14:53:39	546/546	---MC-	200	added ('OK')	image/png	etag:%22e704b64e025a48822b2f406dd4181f46%22	https://framerusercontent.com/images/jgg8XcpEvm1h5SzgaaSydSoklT0.png?width=96&height=96	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/jgg8XcpEvm1h5SzgaaSydSoklT050a7.png	(from https://gregarious-group-603318.framer.app/)
14:53:39	45316/45316	---MC-	200	added ('OK')	image/jpeg	etag:%22e6afcd0cc00d32acfc7ea2c4c433e4a5%22	https://framerusercontent.com/images/zyOs3hwjuvphtmajvC2Euho8I0.jpg?width=500&height=734	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/zyOs3hwjuvphtmajvC2Euho8I0be62.jpg	(from https://gregarious-group-603318.framer.app/)
14:53:40	1182/1182	---MC-	200	added ('OK')	image/png	etag:%226a2d8b9f7c659ebdcd669a1523d0150a%22	https://framerusercontent.com/images/Gl7ma9U9rLo5bNvUSEuGggiis.png?width=96&height=96	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/Gl7ma9U9rLo5bNvUSEuGggiis50a7.png	(from https://gregarious-group-603318.framer.app/)
14:53:40	16971/16971	---MC-	200	added ('OK')	image/png	etag:%22dd273b7339355ff12f295afae06b8b9d%22	https://framerusercontent.com/images/1XAJciGteON1toKqG0OuHG3GK8A.png?width=992&height=694	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/1XAJciGteON1toKqG0OuHG3GK8A1baa.png	(from https://gregarious-group-603318.framer.app/)
14:53:40	16030/16030	---MC-	200	added ('OK')	image/png	etag:%223aa314e15c2cac9993adf31b17ae1cf7%22	https://framerusercontent.com/images/G1u0RvYpaHbie0ntinjj1bRyt8.png?width=692&height=455	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/G1u0RvYpaHbie0ntinjj1bRyt8295b.png	(from https://gregarious-group-603318.framer.app/)
14:53:40	16309/16309	---MC-	200	added ('OK')	image/jpeg	etag:%227ed87147036b05d25054fc81aca4ac61%22	https://framerusercontent.com/images/MMslNTodN2mjP2GNUPdkuMqBL9k.jpg?width=643&height=328	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/MMslNTodN2mjP2GNUPdkuMqBL9k9f57.jpg	(from https://gregarious-group-603318.framer.app/)
14:53:41	80770/80770	---MC-	200	added ('OK')	image/png	etag:%2240b6e709cb917da2d8d976e77994fe94%22	https://framerusercontent.com/images/HE7A5pUWxlqJP6FV18BnZYoZMbg.png?width=1844&height=933	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/HE7A5pUWxlqJP6FV18BnZYoZMbg14a8.png	(from https://gregarious-group-603318.framer.app/)
14:53:41	931/931	---MC-	200	added ('OK')	image/png	etag:%22e82a80751973016af1c442de783480f3%22	https://framerusercontent.com/images/jru1FNjTOgRJAE9xfxzT3FmqT4.png?width=128&height=128	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/jru1FNjTOgRJAE9xfxzT3FmqT46ddb.png	(from https://gregarious-group-603318.framer.app/)
14:53:41	469/469	---MC-	200	added ('OK')	image/png	etag:%22d9a5204bdb402e86b687c1fb1bc45e3c%22	https://framerusercontent.com/images/nX3hZ6AEJvnIuXuqDICbhOZg0.png?width=96&height=96	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/nX3hZ6AEJvnIuXuqDICbhOZg050a7.png	(from https://gregarious-group-603318.framer.app/)
14:53:41	10391/10391	---MC-	200	added ('OK')	image/png	etag:%226a31961387acce5ad244acd8909cfc5f%22	https://framerusercontent.com/images/nI9UWA6CCDDVwDRoAbVrljSXdQ.png?width=1200&height=1327	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/nI9UWA6CCDDVwDRoAbVrljSXdQ32d9.png	(from https://gregarious-group-603318.framer.app/)
14:53:41	5954/5954	---MC-	200	added ('OK')	image/png	etag:%22d43edf9b160aab9d746d598144af772b%22	https://framerusercontent.com/images/6rWO5g6ViVQ3768Ji8iwLreDKo.png?width=512&height=512	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/6rWO5g6ViVQ3768Ji8iwLreDKo20cf.png	(from https://gregarious-group-603318.framer.app/)
14:53:42	902/902	---MC-	200	added ('OK')	image/png	etag:%22356f245cd2edb86c38e9cfca44981da8%22	https://framerusercontent.com/images/lzIBBn83aXuPazBDq9OdXpOHg3o.png?width=96&height=96	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/lzIBBn83aXuPazBDq9OdXpOHg3o50a7.png	(from https://gregarious-group-603318.framer.app/)
14:53:42	850/850	---MC-	200	added ('OK')	image/png	etag:%22f2732c8b85a3b313a81e633ef4d44045%22	https://framerusercontent.com/images/FjdfmmfvvFAfbI0OL8dZc93xRQ.png?width=80&height=80	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/FjdfmmfvvFAfbI0OL8dZc93xRQ5ad8.png	(from https://gregarious-group-603318.framer.app/)
14:53:42	543/543	---MC-	200	added ('OK')	image/png	etag:%22b9f879a4acc83e9a6683fdf4af0f96ef%22	https://framerusercontent.com/images/dAdkkL9ZVdqRfEvOhTkc74wfzo.png?width=80&height=80	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/dAdkkL9ZVdqRfEvOhTkc74wfzo5ad8.png	(from https://gregarious-group-603318.framer.app/)
14:53:42	769/769	---MC-	200	added ('OK')	image/png	etag:%220f38f27ea09013ca29a42c9d0495afbd%22	https://framerusercontent.com/images/lNQr1cUxC7IAmBRJcpl9j15Lww.png?width=80&height=80	C:/My%20PORTFOLIO/UPENDRA/framerusercontent.com/images/lNQr1cUxC7IAmBRJcpl9j15Lww5ad8.png	(from https://gregarious-group-603318.framer.app/)
